/ POINT BLANK
 
/ handguns

group(ID=pointblank:glock17;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=20
group(ID=pointblank:glock18;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=30
group(ID=pointblank:m9;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=40
group(ID=pointblank:m1911a1;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=50
group(ID=pointblank:tti_viper;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=60
group(ID=pointblank:p30l;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=70
group(ID=pointblank:mk23;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=80
group(ID=pointblank:deserteagle;ID=pointblank:ammo50ae,amount=#rand(17,34))@luck=90
group(ID=pointblank:rhino;ID=pointblank:ammo357,amount=#rand(17,34))@luck=100

/ rifles

group(ID=pointblank:m4a1;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:m4a1mod1;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:star15;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:m4sopmodii;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:m16a1;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:hk416;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:scarl;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:xm7;ID=pointblank:ammo68,amount=#rand(17,34))@luck=100
group(ID=pointblank:g36c;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:g36k;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:aug;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:g41;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:ak47;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:ak74;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:ak12;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:an94;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:ar57;ID=pointblank:ammo57,amount=#rand(17,34))@luck=100
group(ID=pointblank:xm29;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:mp5;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:mp7;ID=pointblank:ammo46,amount=#rand(17,34))@luck=100
group(ID=pointblank:ro635;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:ump45;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=100
group(ID=pointblank:vector;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=100
group(ID=pointblank:p90;ID=pointblank:ammo57,amount=#rand(17,34))@luck=100
group(ID=pointblank:m950;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:tmp;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100

/ snipers

group(ID=pointblank:sl8;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:mk14ebr;ID=pointblank:ammo762x51,amount=#rand(17,34))@luck=100
group(ID=pointblank:uar10;ID=pointblank:ammo762x51,amount=#rand(17,34))@luck=100
group(ID=pointblank:g3;ID=pointblank:ammo762x51,amount=#rand(17,34))@luck=100
group(ID=pointblank:wa2000;ID=pointblank:ammo762x51,amount=#rand(17,34))@luck=100
group(ID=pointblank:xm3;ID=pointblank:ammo762x51,amount=#rand(17,34))@luck=100
group(ID=pointblank:c14;ID=pointblank:ammo338lapua,amount=#rand(17,34))@luck=100
