/ POINT BLANK
 
/ handguns

group(ID=pointblank:glock17;ID=pointblank:ammo9mm,amount=17)@luck=-1
group(ID=pointblank:glock18;ID=pointblank:ammo9mm,amount=20)@luck=-1
group(ID=pointblank:m9;ID=pointblank:ammo9mm,amount=15)@luck=-1
group(ID=pointblank:m1911a1;ID=pointblank:ammo45acp,amount=7)@luck=-1
group(ID=pointblank:tti_viper;ID=pointblank:ammo45acp,amount=21)@luck=-1
group(ID=pointblank:p30l;ID=pointblank:ammo9mm,amount=15)@luck=-1
group(ID=pointblank:mk23;ID=pointblank:ammo45acp,amount=12)@luck=0
group(ID=pointblank:deserteagle;ID=pointblank:ammo50ae,amount=8)@luck=0
group(ID=pointblank:rhino;ID=pointblank:ammo357,amount=6)@luck=0

/ rifles

group(ID=pointblank:m4a1;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:m4a1mod1;ID=pointblank:ammo556,amount=25)@luck=0
group(ID=pointblank:star15;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:m4sopmodii;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:m16a1;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:hk416;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:scarl;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:xm7;ID=pointblank:ammo68,amount=20)@luck=0
group(ID=pointblank:g36c;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:g36k;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:aug;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:g41;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:ak47;ID=pointblank:ammo762,amount=30)@luck=0
group(ID=pointblank:ak74;ID=pointblank:ammo545,amount=30)@luck=0
group(ID=pointblank:ak12;ID=pointblank:ammo545,amount=30)@luck=0
group(ID=pointblank:an94;ID=pointblank:ammo545,amount=30)@luck=0
group(ID=pointblank:ar57;ID=pointblank:ammo57,amount=50)@luck=1
group(ID=pointblank:xm29;ID=pointblank:ammo556,amount=30)@luck=0
group(ID=pointblank:mp5;ID=pointblank:ammo9mm,amount=30)@luck=0
group(ID=pointblank:mp7;ID=pointblank:ammo46,amount=40)@luck=1
group(ID=pointblank:ro635;ID=pointblank:ammo9mm,amount=32)@luck=0
group(ID=pointblank:ump45;ID=pointblank:ammo45acp,amount=30)@luck=0
group(ID=pointblank:vector;ID=pointblank:ammo45acp,amount=25)@luck=0
group(ID=pointblank:p90;ID=pointblank:ammo57,amount=50)@luck=1
group(ID=pointblank:m950;ID=pointblank:ammo9mm,amount=50)@luck=1
group(ID=pointblank:tmp;ID=pointblank:ammo9mm,amount=30)@luck=0

/ sniper rifles

group(ID=pointblank:sl8;ID=pointblank:ammo556,amount=20)@luck=1
group(ID=pointblank:mk14ebr;ID=pointblank:ammo762x51,amount=20)@luck=1
group(ID=pointblank:uar10;ID=pointblank:ammo762x51,amount=20)@luck=1
group(ID=pointblank:g3;ID=pointblank:ammo762x51,amount=20)@luck=1
group(ID=pointblank:wa2000;ID=pointblank:ammo762x51,amount=6)@luck=1
group(ID=pointblank:xm3;ID=pointblank:ammo762x51,amount=5)@luck=2
group(ID=pointblank:c14;ID=pointblank:ammo338lapua,amount=5)@luck=2
group(ID=pointblank:l96a1;ID=pointblank:ammo338lapua,amount=5)@luck=2
group(ID=pointblank:ballista;ID=pointblank:ammo338lapua,amount=10)@luck=1
group(ID=pointblank:gm6lynx;ID=pointblank:ammo50bmg,amount=5)@luck=2

/ shotguns

group(ID=pointblank:m590;ID=pointblank:ammo12gauge,amount=7)@luck=0
group(ID=pointblank:m870;ID=pointblank:ammo12gauge,amount=6)@luck=0
group(ID=pointblank:spas12;ID=pointblank:ammo12gauge,amount=9)@luck=1
group(ID=pointblank:m1014;ID=pointblank:ammo12gauge,amount=8)@luck=1
group(ID=pointblank:aa12;ID=pointblank:ammo12gauge,amount=32)@luck=2
group(ID=pointblank:citoricxs;ID=pointblank:ammo12gauge,amount=6)@luck=0
group(ID=pointblank:hs12;ID=pointblank:ammo12gauge,amount=6)@luck=0

/ other

group(ID=pointblank:aughbar;ID=pointblank:ammo556,amount=60)@luck=1
group(ID=pointblank:lamg;ID=pointblank:ammo556,amount=100)@luck=2
group(ID=pointblank:mk48;ID=pointblank:ammo762x51,amount=100)@luck=2
group(ID=pointblank:m249;ID=pointblank:ammo556,amount=100)@luck=2
group(ID=pointblank:m32mgl;ID=pointblank:grenade40mm,amount=12)@luck=1
group(ID=pointblank:smaw;ID=pointblank:smaw_rocket,amount=3)@luck=2
